,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,equivalent_diameter,feret_diameter_max,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,centroid-0,centroid-1,centroid-2,major_axis_length,minor_axis_length,mean_intensity,min_intensity,max_intensity,label,solidity,volume,bbox_volume,convex_volume,filled_volume,width,length,height,height_deviation,elongation,aspect_ratio,invagination_prop,surface_area,sphericity,surface/volume,int_0.0-0.5,int_1.0-1.5,int_ratio,2D_slide_area,2D_slide_bbox-0,2D_slide_bbox-1,2D_slide_bbox-2,2D_slide_bbox-3,2D_slide_centroid-0,2D_slide_centroid-1,2D_slide_eccentricity,2D_slide_major_axis_length,2D_slide_minor_axis_length,2D_slide_perimeter,2D_slide_perimeter_crofton,2D_slide_equivalent_diameter,2D_slide_feret_diameter_max,2D_slide_roundness,2D_slide_compactness,2D_slide_EOP,DIRs_equivalent_diameter,DIRs_bbox-0,DIRs_bbox-1,DIRs_bbox-2,DIRs_bbox-3,DIRs_bbox-4,DIRs_bbox-5,DIRs_centroid-0,DIRs_centroid-1,DIRs_centroid-2,DIRs_major_axis_length,DIRs_mean_intensity,DIRs_min_intensity,DIRs_max_intensity,DIRs_label,DIRs_solidity,DIRs_volume,DIRs_bbox_volume,DIRs_convex_volume,DIRs_filled_volume,DIRs_width,DIRs_length,DIRs_height,DIRs_elongation,DIRs_aspect_ratio,DIRs_surface_area,DIRs_sphericity,DIRs_surface/volume,DIRs_domain_num,DIRs_include,DIRs_n,DIRs_centroid_distance2border,DIRs_mean_distance2border,DIRs_min_distance2border,res_Z,sigma_noise,im_path,im_batch,im_nuc,condition
0,0,0,0.0,0.0,8.210339038785948,10.433120338613946,3.0,3.0,3.0,83.0,84.0,91.0,41.42437083533192,42.80590015494032,40.750480522035,9.368509020763032,7.3700139441578845,-3.369908796457821e-09,-1.4896589517593384,6.026431560516357,1.0,0.9210615812475168,289.78900000000004,570.2400000000001,314.62500000000006,289.78900000000004,8.0,8.1,8.8,2.2863488230557696,1.0125,1.08641975308642,0.078938418752483,243.18433593750004,0.8708361672466564,0.8391772494383845,-0.13781938,-0.042827442,0.3107505,46.98000000000001,3.0,5.0,83.0,83.0,42.77884206045125,43.426990208599406,0.387153694073827,8.06937633699855,7.440087585307797,25.71787155501902,24.65022284122796,7.734131742584811,8.285529554590944,0.8925916721146312,1.0110612760868125,0.0552117870112278,1.2556019780328618,33.81578947368421,37.89473684210526,30.86842105263158,47.5,51.578947368421055,53.97368421052632,39.9776169987386,44.473653648859134,41.87006375887807,2.3491179943993914,1.3437825409989608,0.6012661237465707,3.049635786759226,26.973684210526315,0.7167151599901721,1.4204736842105266,5.966710526315791,2.097289473684211,1.4204736842105266,1.368421052631579,1.3684210526315792,2.310526315789473,1.1305227511530498,1.7961581641476578,53.29790039062502,0.1033972310348652,88.84235319785634,26.973684210526315,1.0,38.0,6.944179480818465,6.306705409357857,3.0079986571023447,0.4408134085479046,1.388192100845134,3D_res=0.1_norm=z_score_npz/young/20191128PlaminYoung_nuc_20.npz,20191128PlaminYoung,nuc_20,Young
1,1,1,1.0,0.0,6.24811328687522,8.067837380611982,3.0,3.0,3.0,61.0,64.0,81.0,30.73594537880924,31.9373610197626,43.293260045726456,7.311980295788091,5.736675435997299,2.867384996108057e-09,-1.5613740682601929,5.522441387176514,1.0,0.9146941494123628,127.71600000000004,275.96400000000006,139.62700000000004,127.71600000000004,5.800000000000001,6.1000000000000005,7.800000000000001,1.8724104250047,1.0517241379310345,1.278688524590164,0.085305850587637,138.74204101562503,0.8839741888255117,1.0863324956593143,-0.329534,0.12872636,-0.39063153,26.640000000000004,3.0,3.0,64.0,61.0,34.40878378378378,30.79241741741742,0.3896801956923591,6.091207598248605,5.609699101246646,19.699494936611668,18.94444402069565,5.824010771946146,6.351377803280167,0.8626485588892201,1.017966399293531,0.0713511872129922,1.3583346886425862,22.8125,25.0625,31.6875,37.125,40.0,54.5625,29.634133583055387,31.812308435418977,43.2056654600369,2.213811806592381,1.4269133061170578,0.6012282632291317,3.468920573592186,11.125,0.7263670245903942,1.5666875000000005,5.721625000000001,2.2390000000000008,1.5666875000000005,1.43125,1.49375,2.2875,1.1013012642027735,1.5915345773680298,41.04640625000001,0.1503298411571833,50.41562772946381,11.125,1.0,16.0,8.00178727063943,7.108133347134197,2.7352280159273814,0.4408134085479046,4.03502274405956,3D_res=0.1_norm=z_score_npz/young/20200130PlaminYoung slide1exp200122_nuc_13.npz,20200130PlaminYoung slide1exp200122,nuc_13,Young
2,2,2,2.0,0.0,6.561107078397377,7.773030297123511,3.0,3.0,3.0,68.0,75.0,72.0,34.30969591647677,38.035574458877385,34.95700095343066,7.381631808821284,6.01512104787788,2.992182501770912e-09,-1.4847235679626465,4.989720821380615,1.0,0.9273365731305848,147.88700000000003,322.9200000000001,159.47500000000005,147.88700000000003,6.5,7.2,6.9,1.7082717856610774,1.1076923076923078,0.9583333333333334,0.0726634268694152,151.86748046875002,0.8905110973784958,1.0269156887944848,-0.23938857,-0.2381907,0.99499613,32.85000000000001,4.0,3.0,75.0,68.0,40.167732115677325,34.75372907153729,0.5457262937219772,7.079179287470352,5.932093789530331,21.820815280171303,20.95558181669652,6.467296115421815,7.278049189171504,0.8669684477558339,1.015048269379901,0.0655843704234461,1.2284684171772045,27.178571428571427,31.5,26.464285714285715,39.67857142857143,44.07142857142857,45.392857142857146,32.85659990172398,37.37308346669917,35.246810137216585,2.041336830226975,1.43486168554851,0.6014412279639926,3.262797457831246,16.0,0.7705445172152772,1.1486785714285717,3.364535714285714,1.4936428571428575,1.1486785714285717,1.2499999999999998,1.2571428571428576,1.892857142857143,1.0558009395636552,1.5611184042381523,42.88644531250001,0.1171333737643089,63.45314761434215,16.0,1.0,28.0,8.161914229575423,7.387506349707337,3.524640636212703,0.3999999999999998,1.8339963883329329,3D_res=0.1_norm=z_score_npz/young/20201119expRhoAAF488YoungRFPcellsSlide3_nuc_64.npz,20201119expRhoAAF488YoungRFPcellsSlide3,nuc_64,Young
3,3,3,3.0,0.0,6.755121666138113,7.60920495189872,3.0,3.0,3.0,75.0,70.0,69.0,40.622820604964126,36.03588644221118,32.440575471815016,7.284502056819567,6.441667110635374,6.8069789804781075e-09,-1.5166339874267578,4.465748310089111,1.0,0.9402245148812473,161.39800000000002,318.38400000000007,171.65900000000005,161.39800000000002,7.2,6.7,6.6000000000000005,1.6488674349063497,0.9305555555555556,0.9850746268656716,0.0597754851187528,159.56953125000004,0.8983927828351861,0.9886710569523788,-0.16895597,-0.114623934,0.6784249,37.28000000000001,3.0,3.0,70.0,75.0,35.69581545064378,39.46190987124464,0.4462794547554921,7.298907374529941,6.531745875485907,22.65512985522207,21.74656163298555,6.889584183949484,7.5643902596309776,0.9127517116940658,1.013410609805569,0.0420054704084315,1.2041553931371174,36.45161290322581,28.90322580645161,21.61290322580645,50.0,42.45161290322581,40.12903225806452,42.92963475531791,35.0981861126192,30.41601070557063,2.002951412511986,1.4461410353260655,0.601828928916685,3.2455946360864947,20.548387096774192,0.7494145419352023,1.0887741935483874,4.116225806451613,1.528096774193549,1.0887741935483874,1.3548387096774197,1.3548387096774197,1.8516129032258064,1.1055290507655882,1.4859074764023328,71.2660546875,0.0677376970951816,109.98314323547014,20.548387096774192,1.0,31.0,7.397762444923871,6.8290705493312025,3.1267109029984246,0.3999999999999997,2.1797952140209405,3D_res=0.1_norm=z_score_npz/young/20201218expY2RhoAAF488_nuc_29.npz,20201218expY2RhoAAF488,nuc_29,Young
4,4,4,4.0,0.0,6.082808994834628,7.596051605933177,3.0,3.0,3.0,64.0,69.0,74.0,30.742704399847256,34.88282065424922,32.60952946667232,6.880205532992537,5.688726160082565,-7.509947330675004e-09,-1.836820125579834,3.660047769546509,1.0,0.8563010005740403,117.84500000000004,285.84600000000006,137.62100000000004,117.84500000000004,6.1000000000000005,6.6000000000000005,7.1000000000000005,1.5057883219710089,1.0819672131147542,1.0757575757575757,0.1436989994259596,137.79171875000003,0.843597170265291,1.1692623255123256,-0.47417438,0.1831383,-0.3862256,30.460000000000004,4.0,3.0,69.0,64.0,34.5817465528562,32.0994747209455,0.3689900607888422,6.492096124043674,6.033970589533672,20.75807358037436,19.94803950639115,6.227589945768191,6.694027188471825,0.8883122863560295,1.0159734637100823,0.0546472612949155,1.3642261130151656,25.3125,28.0625,22.6875,38.6875,43.125,46.0,31.20265583236347,35.04093295028888,33.00046243136333,2.294288425856916,1.3267834335565567,0.6005105786025524,2.711156696081161,10.5625,0.719997331515086,1.6092500000000003,5.760625000000001,2.3360000000000003,1.6092500000000003,1.3375,1.50625,2.33125,1.1903331043956045,1.580698135015569,23.78608154296876,0.2620815781355202,25.91737729344188,10.5625,1.0,16.0,8.25291563684792,7.401235810994082,3.0768376254763776,0.4408134085479046,4.099914868161035,3D_res=0.1_norm=z_score_npz/young/20191212CDK8YoungSlide9exp20191209_nuc_10.npz,20191212CDK8YoungSlide9exp20191209,nuc_10,Young
5,5,5,5.0,0.0,6.403320055070404,9.462557793746887,3.0,3.0,3.0,87.0,79.0,52.0,44.81266730679702,41.24891614292365,22.91445530726257,9.315087521811002,4.266266703127963,-1.775929847624979e-09,-1.6135209798812866,6.660963535308838,1.0,0.8777983525956197,137.47200000000004,312.8160000000001,156.61000000000004,137.47200000000004,8.4,7.6,4.9,1.079686590020403,0.9047619047619048,0.6447368421052632,0.1222016474043803,159.79369140625002,0.8061217931846254,1.162372638837363,-0.51664555,0.42488003,-0.82238203,47.93000000000001,3.0,3.0,79.0,87.0,39.70185687460881,44.484665136657625,0.6689538012517038,9.074413071893394,6.745047383676395,26.327922061357857,25.22858698811052,7.811937748033862,9.265527507918804,0.8689286677379595,1.0109195453547553,0.0537902147228012,1.2247341556946505,38.59090909090909,31.90909090909091,15.0,53.86363636363637,45.59090909090909,31.5,45.775502788118544,38.30820461199488,22.747900205924942,1.8773534878106315,1.4267574413256212,0.6017973666841333,3.593214826150374,15.590909090909092,0.7326900760170811,1.175545454545455,4.314681818181819,1.7440000000000004,1.175545454545455,1.5272727272727271,1.3681818181818182,1.65,0.9806890408669064,1.293671390997594,45.830800781250005,0.1100768822909957,71.4066808727572,15.590909090909092,1.0,22.0,8.045157833089855,7.316398810729959,3.292528283165294,0.368961137123203,1.8907404340650744,3D_res=0.1_norm=z_score_npz/young/20230426exp_20030510_YRhoAGTPPha488_nuc_21.npz,20230426exp_20030510_YRhoAGTPPha488,nuc_21,Young
6,6,6,6.0,0.0,6.153844324280504,6.9318107302493495,3.0,3.0,3.0,69.0,67.0,66.0,34.2159938371769,34.343774073527726,33.251233384143845,6.563801917698424,5.788652759180716,0.0,-1.912873148918152,5.212129592895508,1.0,0.9078545016256594,122.02200000000003,266.1120000000001,134.40700000000004,122.02200000000003,6.6000000000000005,6.4,6.300000000000001,1.4948747358850811,0.9696969696969696,0.984375,0.0921454983743406,133.1429296875,0.8935621714948467,1.0911387265206272,-0.51943237,0.17940454,-0.34538576,30.940000000000005,4.0,3.0,67.0,68.0,34.62734324499031,34.725921137685845,0.3720195064556775,6.525321327172441,6.056965813136504,20.865180361560903,20.049583102343664,6.276466483150049,6.762396025078686,0.8930707942880929,1.015750605124372,0.0553396361620473,1.28206744054003,30.27777777777778,25.666666666666668,21.27777777777778,43.388888888888886,39.77777777777778,42.44444444444444,36.43106197865117,32.218157792476966,31.040043607946643,2.2122253277811748,1.223661008808348,0.6010385221905179,2.8022405240270825,13.666666666666666,0.7096884052547167,1.4871111111111113,5.535111111111111,2.269222222222223,1.4871111111111113,1.3111111111111111,1.411111111111111,2.116666666666667,1.085489044637595,1.6501905948177875,46.73315917968751,0.1220996604297469,69.46485333397676,13.666666666666666,1.0,18.0,9.224641080557756,8.120940021820154,3.669069209546988,0.3999999999999997,3.318750167848437,3D_res=0.1_norm=z_score_npz/young/20210603YoungLaminACIF20210621_nuc_11.npz,20210603YoungLaminACIF20210621,nuc_11,Young
7,7,7,7.0,0.0,5.981172449490767,8.292767933567175,3.0,3.0,3.0,56.0,74.0,67.0,28.41766932057553,37.89787211253525,32.68338748259488,8.125662713263564,4.925008283268713,-5.44781664224558e-10,-1.7051807641983032,5.130094528198242,1.0,0.9062714866974592,112.03600000000004,240.83200000000005,123.62300000000003,112.03600000000004,5.300000000000001,7.1000000000000005,6.4,1.4591235638442626,1.339622641509434,0.9014084507042254,0.0937285133025408,131.46069335937503,0.854922215501187,1.1733790331623315,-0.36010763,-0.0071693244,0.019908838,26.840000000000007,4.0,4.0,74.0,55.0,38.97317436661699,28.776080476900148,0.7334206655037457,7.103643065810035,4.828879366272976,19.87523086789973,19.11105213087659,5.845831795449795,7.08590149522275,0.8538233182754257,1.0178849393451586,0.0508075020260447,1.295565137565147,24.25,30.9375,21.0,37.375,46.25,41.375,30.206067933400785,37.991036385236,30.177139988646275,2.061779142265595,1.2299663797020912,0.6009291522204876,2.799285128712654,12.75,0.719879949848945,1.5068750000000004,5.376500000000002,2.210937500000001,1.5068750000000004,1.3125,1.53125,2.0375,1.2035554202741705,1.5347575448647857,31.03279052734376,0.1876398397691171,48.77610111961417,12.75,1.0,16.0,7.924743837416125,7.157364090912655,2.937700108726066,0.3999999999999997,2.956255619093626,3D_res=0.1_norm=z_score_npz/young/20210603expYLaminACAF488_2_nuc_24.npz,20210603expYLaminACAF488_2,nuc_24,Young
8,8,8,8.0,0.0,6.697600456339734,8.162107570964745,3.0,3.0,3.0,68.0,70.0,76.0,35.613597355540016,35.18558896446507,42.35579429152629,7.451702156305505,6.061441377797156,1.939964189290322e-09,-1.416932225227356,6.870555877685547,1.0,0.921882325363338,157.31000000000003,317.9150000000001,170.64000000000004,157.31000000000003,6.5,6.7,7.300000000000001,1.836565892745161,1.0307692307692309,1.0895522388059702,0.0781176746366619,158.22730468750004,0.8906496775484928,1.0058311911989066,-0.16718265,-0.13969137,0.8355614,32.09,3.0,3.0,68.0,68.0,36.44032408850109,35.407603614833285,0.4490776842530884,6.789634438877458,6.066488915290918,21.44091629284898,20.59541499211201,6.392046385200234,7.0,0.8771884375902892,1.0153189493394372,0.0608890783687007,1.1403601591560824,31.72,33.16,33.24,42.68,46.08,53.48,36.69805523342303,38.907774997100766,42.70788543785648,2.039516677954482,1.2372602796554566,0.6011106276512146,2.683309245109558,21.92,0.7313467673452027,1.0559200000000004,3.672440000000001,1.4494400000000005,1.0559200000000004,1.096,1.2920000000000005,2.024,1.201904217901122,1.779835540299232,42.979101562500006,0.1049729752667795,84.32689606941159,21.92,1.0,25.0,6.962978551800174,6.342865156101741,3.125275466203572,0.3189617008738659,2.172738771161072,3D_res=0.1_norm=z_score_npz/young/20230413exp_20230426YKlf4Cy3H3K9me2AF488_nuc_41.npz,20230413exp_20230426YKlf4Cy3H3K9me2AF488,nuc_41,Young
9,9,9,9.0,0.0,5.668260495971261,7.039176088151227,3.0,3.0,3.0,70.0,62.0,52.0,35.514073576911784,32.09756071982885,24.27636436092118,6.857204302602844,4.674947877346521,7.680920788288859e-09,-1.8790287971496584,4.820986747741699,1.0,0.9113551433131672,95.35600000000002,193.6970000000001,104.63100000000004,95.35600000000002,6.7,5.9,4.9,1.2081756206196963,0.8805970149253731,0.8305084745762712,0.0886448566868327,116.10376953125002,0.8693670067240139,1.217582213298062,-0.555245,0.41779548,-0.7524525,29.780000000000005,3.0,3.0,62.0,69.0,32.50201477501679,36.3153122901276,0.5197974792253574,6.683626166981224,5.709751776785425,20.67523086789974,19.86949969005141,6.157684113545705,6.854195795277518,0.8754549888453501,1.016319447572957,0.0604022222341261,1.2872351467534646,31.214285714285715,24.0,14.571428571428571,44.92857142857143,40.285714285714285,32.714285714285715,37.75399575694478,31.76326389706228,23.123467445446465,1.982804982322881,1.167500116995403,0.6007657178810665,2.5881267615727017,8.214285714285714,0.7042954634012483,1.5083571428571432,5.2371428571428575,2.2305,1.5083571428571432,1.3714285714285714,1.6285714285714288,1.8142857142857145,1.2905806182121975,1.1769532945063683,30.625234375,0.1884059038287015,46.05441739092396,8.214285714285714,1.0,14.0,8.548194793213794,7.591316208247053,3.058260416246504,0.3999999999999997,3.02108593006902,3D_res=0.1_norm=z_score_npz/young/20210603YoungLaminACIF20210621_nuc_8.npz,20210603YoungLaminACIF20210621,nuc_8,Young
